Position,Age,Appereances,Goals,Club,Club League,Country,Peak MV,Apex MV,Current MV
DF,22,9,0,VfL Wolfsburg,L1,Ghana,8000000,False,7000000
FW,29,72,21,Bayern Munich,L1,Colombia,85000000,False,70000000
MF,26,14,1,Bodø/Glimt,NO1,Norway,12000000,True,12000000
MF,18,0,0,Bayern Munich,L1,Senegal,300000,True,300000
DF,24,8,0,PSV Eindhoven,NL1,Morocco,12000000,True,12000000
FW,23,6,2,Vasco da Gama,BRA1,Colombia,8000000,True,8000000
MF,28,41,2,Watford,GB1,DR Congo,5000000,False,4000000
FW,28,29,5,Benfica,PO1,Belgium,25000000,False,20000000
DF,25,1,0,Auxerre,FR1,Ghana,3000000,True,3000000
FW,22,2,0,Al-Shabab,SA1,Jordan,200000,True,200000
GK,29,1,0,Al-Taawoun,SA1,Saudi Arabia,300000,False,275000
DF,28,4,0,Rayo Vallecano,ES1,Ghana,5000000,False,4000000
DF,30,2,0,Flamengo,BRA1,Brazil,10000000,True,10000000
MF,22,10,1,Benfica,PO1,Norway,20000000,True,20000000
DF,23,2,0,VfB Stuttgart,L1,Switzerland,10000000,True,10000000
FW,30,93,33,Al-Karma,Unkown,Iraq,650000,False,450000
MF,31,77,5,Boca Juniors,ARG1,Argentina,40000000,False,5000000
DF,34,66,0,Independiente,ARG1,Colombia,20000000,False,1500000
GK,27,8,0,Al-Duhail,Unkown,Qatar,500000,False,400000
MF,34,56,3,Norwich City,GB1,Scotland,4500000,False,500000
DF,26,36,1,Genoa,IT1,Norway,10000000,True,10000000
MF,22,2,0,UANL,MEX1,Canada,4500000,True,4500000
DF,30,71,11,Inter Milan,IT1,Netherlands,35000000,False,25000000
GK,32,11,0,Bayer Leverkusen,L1,Netherlands,12000000,False,8000000
DF,30,16,0,River Plate,ARG1,Argentina,15000000,False,4500000
DF,26,10,0,Al-Hilal,SA1,Saudi Arabia,1200000,True,1200000
MF,25,0,0,Saint-Étienne,FR1,Ghana,4000000,True,4000000
DF,28,2,0,Al-Arabi,Unkown,Qatar,200000,True,200000
FW,29,20,2,Al-Qadsiah,SA1,Mexico,12000000,True,12000000
DF,22,6,0,Eintracht Frankfurt,L1,Switzerland,9500000,False,8000000
GK,23,23,0,Parma,IT1,Japan,20000000,True,20000000
DF,21,3,0,Manchester City,GB1,England,50000000,True,50000000
FW,32,55,20,Olympiacos,GR1,Morocco,5000000,True,5000000
DF,20,0,0,Dundee United,SC1,Iraq,300000,True,300000
MF,33,47,6,River Plate,ARG1,Colombia,15000000,False,2000000
MF,30,65,4,Real Betis,ES1,Argentina,50000000,False,10000000
MF,23,0,0,Viktoria Plzeň,TS1,Czech Republic,2300000,True,2300000
FW,20,9,1,Lokomotiva Zagreb,KR1,Jordan,400000,True,400000
MF,26,23,0,Cruz Azul,MEX1,Mexico,12000000,True,12000000
FW,24,28,6,Newcastle United,GB1,Sweden,55000000,False,40000000
DF,34,54,1,Port,Unkown,Iraq,500000,False,100000
MF,29,51,0,Grêmio,BRA1,Paraguay,10000000,False,4000000
FW,25,9,0,Fenerbahçe,TR1,Türkiye,11000000,False,7000000
DF,28,49,3,Tottenham Hotspur,GB1,Argentina,65000000,False,50000000
MF,29,12,0,Puskás Akadémia,NL1,Cape Verde,1500000,False,1000000
FW,23,21,4,Crystal Palace,GB1,Spain,40000000,False,35000000
MF,27,67,8,Juárez,MEX1,Panama,2500000,True,2500000
MF,36,131,7,Everton,GB1,Senegal,30000000,False,1000000
MF,21,0,0,Wolverhampton Wanderers,GB1,Paraguay,4000000,False,3000000
DF,19,11,0,Barcelona,ES1,Spain,80000000,True,80000000
FW,27,51,15,Fenerbahçe,TR1,Türkiye,25000000,False,20000000
DF,27,42,1,Ajax,NL1,Japan,35000000,False,8000000
FW,25,27,11,Burnley,GB1,Switzerland,15000000,False,9000000
FW,23,0,0,Roma,IT1,Argentina,35000000,True,35000000
GK,30,38,0,Milan,IT1,France,45000000,False,25000000
MF,23,13,1,Aston Villa,GB1,England,80000000,True,80000000
DF,27,23,0,Auckland FC,AUS1,New Zealand,450000,False,400000
DF,27,31,0,Tottenham Hotspur,GB1,Austria,25000000,False,20000000
DF,26,32,1,Eintracht Frankfurt,L1,Belgium,24000000,False,20000000
MF,29,38,2,Pisa,IT1,Switzerland,11000000,False,4500000
FW,26,24,2,Leeds United,GB1,Switzerland,25000000,False,18000000
MF,27,40,5,Villarreal,ES1,Senegal,40000000,True,40000000
FW,37,152,38,PSV Eindhoven,NL1,Croatia,45000000,False,1300000
DF,33,29,0,Nasaf,Unkown,Uzbekistan,700000,False,450000
MF,26,74,8,Al-Dhafra,Unkown,Iraq,1000000,False,900000
FW,33,34,2,Volendam,NL1,Curacao,4500000,False,300000
MF,23,6,0,Union Saint-Gilloise,BE1,Sweden,4500000,True,4500000
FW,26,49,7,Marseille,FR1,United States,20000000,True,20000000
FW,24,5,0,Auxerre,FR1,Haiti,4000000,False,3500000
MF,22,8,0,Al-Shamal,Unkown,Qatar,500000,True,500000
DF,26,22,1,Chelsea,GB1,England,750000,False,400000
DF,25,19,0,Barcelona,ES1,Spain,35000000,True,35000000
MF,32,21,4,Young Boys,C1,Switzerland,5000000,False,2000000
FW,24,10,1,Arsenal,GB1,England,50000000,True,50000000
DF,24,2,0,Genk,BE1,Morocco,15000000,True,15000000
DF,26,16,0,Tottenham Hotspur,GB1,Spain,45000000,False,40000000
DF,28,61,6,Al-Ahli,SA1,Türkiye,30000000,False,14000000
MF,27,31,1,Fenerbahçe,TR1,Türkiye,15000000,True,15000000
FW,20,5,2,TSG Hoffenheim,L1,Cote d'Ivoire,35000000,True,35000000
MF,24,31,1,Al-Rayyan,Unkown,Qatar,750000,False,500000
FW,29,46,8,Toronto FC,MLS1,Haiti,1500000,False,800000
MF,25,27,7,PSV Eindhoven,NL1,Morocco,32000000,True,32000000
FW,27,51,13,Roma,IT1,Netherlands,40000000,False,35000000
DF,29,1,0,Lanús,ARG1,Paraguay,1800000,True,1800000
GK,27,3,0,Kashima Antlers,JAP1,Japan,1500000,True,1500000
MF,23,0,0,Bayer Leverkusen,L1,Argentina,25000000,False,22000000
MF,27,38,0,Bayer Leverkusen,L1,Argentina,45000000,False,30000000
MF,27,11,1,Nottingham Forest,GB1,Argentina,18000000,False,16000000
MF,31,107,14,Manchester City,GB1,Portugal,100000000,False,27000000
FW,25,13,1,Al-Gharafa,Unkown,Qatar,600000,False,500000
MF,35,67,2,Fenerbahçe,TR1,France,100000000,False,4000000
FW,22,0,0,Inter Milan,IT1,Cote d'Ivoire,35000000,True,35000000
FW,19,0,0,Boca Juniors,ARG1,Argentina,800000,True,800000
MF,21,8,1,Como,IT1,Argentina,65000000,True,65000000
MF,27,23,1,Pakhtakor,Unkown,Uzbekistan,1500000,False,1400000
DF,24,25,1,Everton,GB1,Scotland,16000000,False,10000000
DF,25,31,0,Arsenal,GB1,France,90000000,True,90000000
MF,22,1,0,Sabah,RU1,Uzbekistan,600000,True,600000
DF,27,7,0,Marseille,FR1,Argentina,25000000,False,18000000
MF,26,58,19,RB Leipzig,L1,Austria,30000000,True,30000000
FW,29,33,5,Pakhtakor,Unkown,Uzbekistan,1200000,False,900000
FW,33,6,0,Celta Vigo,ES1,Spain,28000000,False,3000000
DF,33,43,1,Mallorca,ES1,Colombia,5000000,False,1800000
MF,32,85,2,Inter Miami CF,MLS1,Argentina,40000000,False,15000000
DF,23,19,2,Strasbourg,FR1,Cote d'Ivoire,18000000,True,18000000
MF,22,27,3,Leicester City,GB1,Ghana,20000000,True,20000000
DF,31,62,3,Al-Wakrah,Unkown,Egypt,2200000,False,1800000
FW,34,22,2,Independiente,ARG1,Paraguay,1500000,False,800000
DF,26,16,0,Al-Faisaly,Unkown,Jordan,350000,True,350000
FW,24,10,1,Sunderland,GB1,Netherlands,35000000,False,25000000
MF,34,117,36,Napoli,IT1,Belgium,150000000,False,10000000
GK,26,1,0,Al-Shahaniya,Unkown,Qatar,350000,True,350000
MF,24,6,5,Rangers,SC1,Norway,3000000,False,2800000
FW,29,46,11,Torino,IT1,Scotland,22000000,False,8500000
GK,35,39,0,Navbahor,Unkown,Uzbekistan,700000,False,500000
DF,31,23,0,Atlético Madrid,ES1,Spain,80000000,False,22000000
MF,22,0,0,Nashville SC,MLS1,Iraq,3500000,True,3500000
DF,28,36,1,RB Leipzig,L1,Germany,26000000,False,22000000
FW,21,8,0,Al-Qadsiah,SA1,Ghana,12000000,True,12000000
MF,31,64,5,Crystal Palace,GB1,Colombia,25000000,False,8000000
FW,30,18,4,Heart of Midlothian,SC1,Scotland,4000000,False,3000000
FW,21,0,0,Bologna,IT1,Argentina,35000000,True,35000000
GK,35,69,0,Sevilla,ES1,Norway,3000000,False,900000
FW,25,57,9,Leeds United,GB1,United States,30000000,False,18000000
DF,26,2,0,Crystal Palace,GB1,France,40000000,True,40000000
DF,29,10,0,Feyenoord,NL1,Japan,10000000,True,10000000
FW,26,23,2,Chelsea,GB1,Portugal,60000000,True,60000000
DF,26,0,0,Paris FC,FR1,Senegal,6000000,True,6000000
FW,27,57,21,Arsenal,GB1,Germany,90000000,False,50000000
MF,25,16,0,Orlando City SC,MLS1,Paraguay,4000000,False,3500000
DF,28,1,0,Union Saint-Gilloise,BE1,Argentina,10000000,True,10000000
DF,23,9,0,Chelsea,GB1,France,35000000,True,35000000
FW,29,58,7,Paris Saint-Germain,FR1,France,120000000,False,100000000
DF,27,43,3,Fenerbahçe,TR1,Türkiye,10000000,False,7000000
MF,18,2,0,Bayern Munich,L1,Germany,60000000,True,60000000
DF,26,28,0,Roma,IT1,Cote d'Ivoire,35000000,True,35000000
MF,29,69,14,Napoli,IT1,Scotland,50000000,False,45000000
FW,28,70,18,Barcelona,ES1,England,85000000,False,40000000
GK,33,74,0,Al-Hussein,Unkown,Jordan,400000,False,300000
DF,32,45,7,Nice,FR1,Tunisia,3000000,False,2500000
FW,31,37,6,Maccabi Haifa,PO1,Curacao,800000,True,800000
FW,26,23,2,Milan,IT1,Belgium,25000000,True,25000000
DF,27,27,0,Liverpool,GB1,France,60000000,False,50000000
DF,29,20,1,Puerto Cabello,Unkown,Panama,400000,True,400000
MF,22,15,1,Inter Milan,IT1,Croatia,30000000,True,30000000
DF,27,29,2,Nasaf,Unkown,Uzbekistan,1200000,True,1200000
FW,29,52,24,Real Sociedad,ES1,Spain,70000000,False,25000000
GK,21,1,0,Standard Liège,BE1,DR Congo,5000000,True,5000000
GK,21,0,0,Lens,FR1,France,25000000,True,25000000
MF,25,24,0,River Plate,ARG1,Colombia,8000000,False,6500000
FW,23,9,2,Auckland FC,AUS1,New Zealand,600000,True,600000
FW,27,16,3,Arsenal,GB1,England,65000000,False,60000000
GK,26,22,0,Al-Nassr,SA1,Saudi Arabia,700000,True,700000
GK,29,19,0,Inter Miami CF,MLS1,Canada,3500000,True,3500000
DF,26,16,0,Dynamo Moscow,RU1,Paraguay,4000000,True,4000000
DF,28,41,1,Borussia Dortmund,L1,Norway,25000000,True,25000000
DF,29,6,1,Juventus,IT1,Brazil,60000000,False,35000000
DF,36,144,7,Sepahan,GR1,Iran,1500000,False,275000
MF,26,33,3,UANL,MEX1,Mexico,14000000,False,7000000
DF,21,23,3,Sheffield United,GB1,New Zealand,1500000,True,1500000
FW,19,15,3,Lyon,Unkown,Malaysia,300000,False,200000
DF,24,25,1,Pogoń Szczecin,Unkown,Iraq,600000,False,450000
MF,29,65,1,Al-Hilal,SA1,Portugal,50000000,False,25000000
DF,28,27,0,Aris Limassol,FR1,DR Congo,5000000,False,3500000
MF,28,22,2,Flamengo,BRA1,Colombia,11000000,True,11000000
DF,25,4,0,Tottenham Hotspur,GB1,England,32000000,False,30000000
DF,34,62,0,River Plate,ARG1,Argentina,18000000,False,1200000
DF,28,1,0,Middlesbrough,GB1,Canada,6000000,True,6000000
DF,28,40,1,FCSB,PO1,Portugal,1400000,False,50000
DF,34,47,2,Grêmio,BRA1,Paraguay,12000000,False,1200000
DF,29,3,0,Bournemouth,GB1,Argentina,24000000,False,22000000
FW,27,25,2,Estrela Amadora,PO1,Cape Verde,10000000,False,800000
MF,27,35,4,Sassuolo,IT1,Norway,10000000,True,10000000
MF,27,39,2,VfL Wolfsburg,L1,Sweden,18000000,False,9000000
FW,25,30,9,Port Vale,Unkown,New Zealand,800000,False,400000
DF,29,74,3,Manchester City,GB1,Portugal,80000000,False,60000000
MF,18,0,0,Lille,FR1,Morocco,50000000,True,50000000
MF,20,8,0,Trabzonspor,TR1,Cote d'Ivoire,23000000,True,23000000
MF,29,56,7,Bayern Munich,L1,Austria,32000000,True,32000000
FW,24,21,4,Crystal Palace,GB1,Cote d'Ivoire,30000000,False,28000000
MF,24,0,0,Porto,PO1,Argentina,35000000,False,32000000
MF,27,8,0,Athletico Paranaense,BRA1,Colombia,4000000,True,4000000
DF,29,49,1,Dinamo Zagreb,KR1,Scotland,10000000,False,4000000
MF,31,89,17,West Ham United,GB1,Czech Republic,45000000,False,12000000
FW,26,51,14,Atlético Madrid,ES1,Argentina,100000000,False,90000000
MF,20,10,1,Paris Saint-Germain,FR1,France,60000000,True,60000000
FW,24,24,10,Paris Saint-Germain,FR1,Portugal,50000000,False,35000000
MF,29,41,10,Arsenal,GB1,Spain,50000000,False,30000000
DF,28,26,1,Manchester United,GB1,Argentina,50000000,False,40000000
MF,26,42,9,Motherwell,SC1,New Zealand,2500000,True,2500000
GK,33,59,0,Aston Villa,GB1,Argentina,35000000,False,15000000
MF,28,64,1,Fulham,GB1,Norway,25000000,True,25000000
MF,26,39,1,Hull City,SC1,Canada,3000000,False,1700000
DF,32,64,3,Al-Zawraa,Unkown,Jordan,500000,True,500000
GK,32,3,0,Atlético Madrid,ES1,Argentina,20000000,False,3000000
FW,32,36,2,Omonia,BE1,Cape Verde,800000,False,700000
MF,25,48,7,Real Sociedad,ES1,Japan,60000000,False,30000000
FW,24,41,7,Manchester City,GB1,Belgium,65000000,True,65000000
MF,21,0,0,Pachuca,MEX1,Mexico,6000000,True,6000000
MF,31,61,4,Guadalajara,MEX1,Mexico,10000000,False,3000000
DF,25,1,0,Elche,ES1,Austria,9000000,True,9000000
FW,28,10,4,Sporting CP,MLS1,Uruguay,90000000,False,1500000
MF,26,47,9,Girona,ES1,Morocco,15000000,False,10000000
DF,30,79,4,Inter Milan,IT1,Switzerland,45000000,False,18000000
DF,23,2,0,Guadalajara,MEX1,Mexico,7500000,True,7500000
DF,32,48,0,Fenerbahçe,TR1,Portugal,40000000,False,6000000
MF,20,1,0,Kilmarnock,SC1,Scotland,2000000,True,2000000
DF,22,26,1,Sporting CP,PO1,Belgium,30000000,True,30000000
FW,20,1,0,Benfica,PO1,Argentina,12000000,True,12000000
GK,25,34,0,Çaykur Rizespor,TR1,Cote d'Ivoire,7000000,False,5000000
DF,20,3,0,Al-Hilal,SA1,Türkiye,16000000,False,15000000
GK,23,27,0,Brighton & Hove Albion,GB1,Netherlands,40000000,True,40000000
FW,24,17,5,Luton Town,GB1,Iraq,2500000,False,1500000
MF,31,31,7,Porto,PO1,Cote d'Ivoire,32000000,False,8000000
MF,29,37,0,Al-Nassr,SA1,Saudi Arabia,1100000,False,800000
MF,24,27,1,Aston Villa,GB1,Belgium,55000000,False,45000000
MF,20,10,3,SC Freiburg,L1,Switzerland,35000000,True,35000000
DF,20,10,1,Chicago Fire,MLS1,South Africa,2500000,True,2500000
DF,30,52,2,Servette,C1,Tunisia,7000000,False,800000
FW,24,7,1,Monaco,FR1,France,50000000,True,50000000
FW,26,37,3,Al-Wakrah,Unkown,Qatar,325000,False,275000
MF,27,7,0,Oviedo,ES1,Ghana,1500000,True,1500000
FW,25,22,3,Nordsjælland,DK1,Egypt,3500000,False,3200000
FW,33,21,6,Krasnodar,RU1,Colombia,17000000,False,10000000
DF,31,52,1,PAOK,GR1,Ghana,15000000,False,2000000
DF,22,5,0,Mamelodi Sundowns,Unkown,South Africa,800000,True,800000
MF,23,18,1,Al-Zawraa,Unkown,Jordan,450000,True,450000
GK,26,12,0,Guadalajara,MEX1,Mexico,6500000,True,6500000
GK,38,10,0,Grêmio,BRA1,Brazil,6000000,False,700000
MF,17,6,0,Tijuana,MEX1,Mexico,10000000,True,10000000
DF,23,7,0,Milan,IT1,Belgium,23000000,True,23000000
GK,27,4,0,Panathinaikos,GR1,Cote d'Ivoire,20000000,False,3000000
FW,27,3,0,Vizela,UKR1,France,500000,False,400000
MF,27,1,0,River Plate,ARG1,Argentina,11000000,False,8000000
DF,29,55,2,Celtic,SC1,Scotland,32000000,False,8000000
MF,22,2,1,Borussia Dortmund,L1,Austria,25000000,False,20000000
FW,25,25,3,Anderlecht,BE1,Mexico,6000000,False,5000000
DF,24,7,0,Sparta Rotterdam,NL1,Curacao,3000000,False,1500000
DF,26,0,0,Getafe,ES1,Argentina,6000000,False,2500000
FW,26,38,4,Everton,GB1,Senegal,50000000,True,50000000
FW,20,4,0,Como,IT1,Senegal,30000000,True,30000000
MF,29,2,0,VfB Stuttgart,L1,Türkiye,12000000,False,9000000
DF,27,59,2,Monaco,FR1,Senegal,21000000,False,6000000
DF,21,0,0,Nacional,PO1,Paraguay,1300000,False,800000
GK,34,7,0,Marseille,FR1,Argentina,14000000,False,8000000
DF,29,0,0,FC St. Pauli,L1,Sweden,6000000,False,5000000
DF,27,11,0,Burnley,GB1,Sweden,8000000,False,6000000
MF,26,25,2,Minnesota United FC,MLS1,Panama,600000,True,600000
FW,26,64,29,Al-Sailiya,Unkown,Jordan,800000,True,800000
GK,26,42,0,Porto,PO1,Portugal,45000000,False,40000000
FW,29,8,0,Boca Juniors,ARG1,Paraguay,6000000,False,4000000
MF,22,35,3,VfB Stuttgart,L1,Morocco,32000000,True,32000000
DF,32,5,0,Zenit Saint Petersburg,RU1,Brazil,18000000,False,8000000
MF,27,30,4,Silkeborg,DK1,New Zealand,2000000,True,2000000
GK,29,1,0,Racing,ARG1,Argentina,5000000,True,5000000
FW,23,1,0,Nice,FR1,Cote d'Ivoire,40000000,False,12000000
DF,30,29,0,Lyon,FR1,Senegal,18000000,True,18000000
MF,31,17,0,Kasımpaşa,TR1,Tunisia,1600000,False,1500000
DF,29,77,3,Galatasaray,TR1,Colombia,60000000,False,16000000
FW,25,3,0,Palmeiras,BRA1,Argentina,22000000,True,22000000
FW,26,75,39,Juventus,IT1,Canada,60000000,False,35000000
DF,31,18,0,Columbus Crew,MLS1,Cape Verde,2000000,False,1500000
MF,34,65,4,Maribor,SA1,Cote d'Ivoire,35000000,False,1500000
DF,25,24,1,Slavia Prague,TS1,Czech Republic,7500000,False,7000000
GK,23,1,0,Manchester City,GB1,England,30000000,False,25000000
GK,31,46,0,Al-Fayha,SA1,Panama,650000,True,650000
DF,36,56,2,Braintree Town,GB1,England,2000000,False,250000
DF,23,12,1,Sassuolo,IT1,Bosnia-Herzegovina,20000000,True,20000000
MF,20,2,0,Strasbourg,FR1,Morocco,10000000,True,10000000
MF,26,38,3,América,MEX1,Mexico,10000000,False,6000000
FW,20,0,0,Girona,ES1,Argentina,18000000,False,15000000
GK,37,75,0,Al Ahly,Unkown,Egypt,3000000,False,500000
DF,20,7,0,Chelsea,GB1,Netherlands,40000000,False,35000000
MF,32,32,5,Pafos,Unkown,Sweden,5000000,False,1000000
DF,26,25,0,Borussia Dortmund,L1,Germany,55000000,True,55000000
DF,22,17,2,Hajduk Split,KR1,Canada,4000000,True,4000000
DF,29,3,0,Konyaspor,TR1,Curacao,15000000,False,1500000
MF,29,82,9,Baniyas,Unkown,Uzbekistan,4000000,False,1600000
DF,25,26,0,Villarreal,ES1,Cape Verde,18000000,True,18000000
MF,22,8,2,Rotherham United,BE1,Curacao,1500000,False,1200000
FW,24,0,0,Parma,IT1,Argentina,15000000,True,15000000
DF,29,35,3,Sunderland,GB1,Paraguay,15000000,True,15000000
GK,40,151,0,AEL Limassol,Unkown,Mexico,8000000,False,300000
MF,27,64,12,Juventus,IT1,United States,30000000,True,30000000
FW,26,47,11,Al-Nassr,SA1,Saudi Arabia,1000000,False,325000
DF,22,14,1,Sporting CP,PO1,Cote d'Ivoire,45000000,True,45000000
FW,27,2,1,UNAM,MEX1,Paraguay,5500000,True,5500000
FW,34,128,79,Santos,BRA1,Brazil,180000000,False,10000000
FW,27,7,2,Real Betis,ES1,Colombia,18000000,True,18000000
MF,27,73,3,UNAM,MEX1,Panama,4500000,False,4000000
FW,22,5,1,Manchester City,GB1,France,65000000,True,65000000
GK,37,129,0,Atlético Nacional,COL1,Colombia,8000000,False,200000
GK,23,2,0,Manchester United,GB1,Belgium,30000000,True,30000000
FW,22,18,4,Lyon,FR1,Ghana,20000000,False,12000000
FW,25,28,5,Atalanta,IT1,Belgium,38000000,False,35000000
MF,28,36,4,Palmeiras,BRA1,Colombia,17000000,False,15000000
DF,28,15,0,Cerro Porteño,ARG1,Paraguay,2000000,False,1000000
DF,23,12,0,Trabzonspor,TR1,Cape Verde,11000000,True,11000000
MF,31,87,28,Manchester United,GB1,Portugal,90000000,False,40000000
GK,25,0,0,San Diego FC,MLS1,Cape Verde,1500000,False,1200000
GK,23,0,0,Hamburger SV,L1,Norway,3500000,False,3000000
FW,25,0,0,Ferencváros,FR1,France,500000,True,500000
DF,29,51,5,Mainz 05,L1,Austria,14000000,False,5500000
GK,32,4,0,Le Havre,FR1,Senegal,2000000,False,1000000
DF,21,1,0,Kasımpaşa,TR1,Tunisia,4000000,True,4000000
MF,28,41,0,Bodø/Glimt,NO1,Norway,8000000,True,8000000
DF,33,43,5,Al Ain,Unkown,Egypt,1200000,False,700000
GK,29,3,0,Orlando Pirates,Unkown,South Africa,1400000,True,1400000
DF,24,4,0,Maribor,NL1,Tunisia,1000000,False,600000
MF,23,2,0,Newcastle Jets,AUS1,New Zealand,350000,True,350000
MF,21,12,0,Lille,FR1,DR Congo,15000000,False,12000000
DF,22,0,0,Boca Juniors,ARG1,Argentina,6000000,True,6000000
MF,32,75,9,Atlanta United FC,MLS1,Paraguay,35000000,False,9000000
DF,24,16,0,Celtic,SC1,Mexico,10000000,False,8000000
DF,27,6,0,Celtic,SC1,United States,10000000,False,6000000
MF,22,19,3,Brighton & Hove Albion,GB1,Sweden,30000000,True,30000000
DF,27,5,0,Al-Ahli,SA1,Brazil,30000000,False,17000000
GK,28,11,0,Manchester United,GB1,Türkiye,16000000,False,7000000
DF,22,4,0,Nice,FR1,Ghana,10000000,True,10000000
DF,30,64,2,Marseille,FR1,Morocco,38000000,False,20000000
DF,29,19,2,Beşiktaş,TR1,Cote d'Ivoire,20000000,False,16000000
DF,29,19,2,Al-Hussein,Unkown,Jordan,400000,True,400000
DF,26,13,0,Le Havre,FR1,Japan,5000000,True,5000000
DF,33,7,1,Club Brugge,BE1,Belgium,7000000,False,3000000
MF,26,19,1,Den Bosch,NL1,Curacao,425000,False,350000
FW,21,8,0,Chelsea,GB1,Argentina,50000000,False,40000000
GK,31,53,0,New England Revolution,MLS1,United States,10000000,False,2500000
MF,22,35,2,Al-Najma,SA1,Iraq,550000,True,550000
GK,28,20,0,Borussia Dortmund,L1,Switzerland,40000000,True,40000000
MF,23,22,2,Utrecht,NL1,Iraq,4000000,False,1000000
DF,27,19,2,Manchester City,GB1,Portugal,55000000,False,45000000
MF,23,38,4,Sassuolo,IT1,Canada,20000000,True,20000000
GK,29,3,0,VfB Stuttgart,L1,Germany,16000000,False,12000000
DF,31,73,1,Toronto FC,MLS1,Canada,3500000,False,1000000
FW,28,32,19,Arsenal,GB1,Sweden,75000000,False,65000000
GK,37,70,0,Miami FC,BE1,Curacao,4500000,False,200000
GK,30,2,0,Rangers,SC1,Scotland,750000,False,600000
FW,29,8,3,Club Brugge,BE1,Sweden,7000000,False,2000000
MF,29,49,0,Al-Wakrah,Unkown,Qatar,600000,False,350000
MF,23,40,5,Barcelona,ES1,Spain,150000000,True,150000000
DF,26,32,2,América,MEX1,Mexico,6500000,True,6500000
GK,26,2,0,Nice,FR1,Senegal,12000000,False,7000000
FW,26,26,10,Burnley,GB1,South Africa,13000000,False,10000000
FW,26,22,2,Villarreal,ES1,Canada,8000000,True,8000000
FW,35,5,0,Libertad,RU1,Paraguay,7000000,False,1500000
FW,24,17,2,Montpellier,KR1,DR Congo,9000000,False,2000000
MF,28,6,1,PSV Eindhoven,NL1,Netherlands,15000000,True,15000000
MF,23,12,2,Austin FC,MLS1,Canada,4000000,False,2000000
